case_id,true_label,violation_type,violation_layer
142,violation,enum_domain_changed,contract
143,violation,column_added,structural
144,clean,,
145,clean,,
146,violation,requiredness_changed,contract
147,violation,enum_domain_changed,contract
148,violation,requiredness_changed,contract
149,clean,,
150,violation,range_changed,contract
151,violation,lineage_source_changed,semantic
152,violation,column_removed,structural
153,violation,requiredness_changed,contract
154,violation,range_changed,contract
155,violation,type_changed,structural
156,violation,enum_domain_changed,contract
157,violation,uniqueness_changed,contract
158,violation,uniqueness_changed,contract
159,clean,,
160,violation,unit_changed,semantic
161,violation,enum_domain_changed,contract
162,clean,,
163,violation,lineage_source_changed,semantic
164,violation,type_changed,structural
165,violation,uniqueness_changed,contract
166,violation,range_changed,contract
167,violation,type_changed,structural
168,violation,column_added,structural
169,clean,,
170,violation,range_changed,contract
171,clean,,
172,violation,lineage_source_changed,semantic
173,violation,column_added,structural
174,clean,,
175,violation,lineage_source_changed,semantic
176,violation,range_changed,contract
177,violation,business_definition_changed,semantic
178,violation,uniqueness_changed,contract
179,violation,business_definition_changed,semantic
180,violation,business_definition_changed,semantic
181,violation,type_changed,structural
182,clean,,
183,violation,business_definition_changed,semantic
184,clean,,
185,violation,column_removed,structural
186,violation,requiredness_changed,contract
187,violation,uniqueness_changed,contract
188,clean,,
189,violation,business_definition_changed,semantic
190,clean,,
191,violation,range_changed,contract
192,violation,requiredness_changed,contract
193,clean,,
194,violation,enum_domain_changed,contract
195,clean,,
196,clean,,
197,clean,,
198,clean,,
199,violation,business_definition_changed,semantic
200,violation,column_removed,structural
201,violation,lineage_source_changed,semantic
202,violation,business_definition_changed,semantic
203,violation,unit_changed,semantic
204,violation,type_changed,structural
205,violation,column_removed,structural
206,clean,,
207,violation,uniqueness_changed,contract
208,violation,range_changed,contract
209,violation,unit_changed,semantic
210,violation,lineage_source_changed,semantic
211,violation,enum_domain_changed,contract
212,violation,business_definition_changed,semantic
213,clean,,
214,violation,column_added,structural
215,violation,enum_domain_changed,contract
216,violation,uniqueness_changed,contract
217,violation,enum_domain_changed,contract
218,violation,column_added,structural
219,violation,column_added,structural
220,violation,uniqueness_changed,contract
221,violation,unit_changed,semantic
222,violation,column_added,structural
223,violation,type_changed,structural
224,violation,lineage_source_changed,semantic
225,violation,enum_domain_changed,contract
226,violation,unit_changed,semantic
227,violation,unit_changed,semantic
228,violation,requiredness_changed,contract
229,clean,,
230,violation,column_added,structural
231,clean,,
232,violation,type_changed,structural
233,violation,range_changed,contract
234,violation,column_added,structural
235,clean,,
236,violation,lineage_source_changed,semantic
237,clean,,
238,violation,enum_domain_changed,contract
239,clean,,
240,violation,column_removed,structural
241,violation,lineage_source_changed,semantic
242,violation,requiredness_changed,contract
243,violation,column_removed,structural
244,violation,column_removed,structural
245,violation,range_changed,contract
246,violation,business_definition_changed,semantic
247,violation,range_changed,contract
248,violation,unit_changed,semantic
249,violation,type_changed,structural
250,violation,range_changed,contract
251,violation,business_definition_changed,semantic
252,violation,column_added,structural
253,violation,unit_changed,semantic
254,violation,uniqueness_changed,contract
255,violation,requiredness_changed,contract
256,violation,business_definition_changed,semantic
257,violation,lineage_source_changed,semantic
258,violation,column_added,structural
259,clean,,
260,violation,type_changed,structural
261,violation,unit_changed,semantic
262,clean,,
263,clean,,
264,clean,,
265,clean,,
266,violation,column_removed,structural
267,violation,column_added,structural
268,violation,uniqueness_changed,contract
269,violation,unit_changed,semantic
270,violation,enum_domain_changed,contract
271,violation,enum_domain_changed,contract
272,violation,column_removed,structural
273,clean,,
274,clean,,
275,violation,type_changed,structural
276,violation,column_removed,structural
277,violation,column_added,structural
278,violation,column_removed,structural
279,violation,business_definition_changed,semantic
280,violation,business_definition_changed,semantic
281,violation,type_changed,structural
282,clean,,
283,clean,,
284,violation,enum_domain_changed,contract
285,violation,unit_changed,semantic
286,violation,uniqueness_changed,contract
287,violation,lineage_source_changed,semantic
288,clean,,
289,violation,uniqueness_changed,contract
290,clean,,
291,clean,,
292,violation,type_changed,structural
293,violation,unit_changed,semantic
294,violation,enum_domain_changed,contract
295,violation,business_definition_changed,semantic
296,violation,lineage_source_changed,semantic
297,clean,,
298,violation,lineage_source_changed,semantic
299,violation,requiredness_changed,contract
300,violation,column_removed,structural
301,violation,uniqueness_changed,contract
302,violation,enum_domain_changed,contract
303,violation,range_changed,contract
304,clean,,
305,violation,requiredness_changed,contract
306,violation,column_added,structural
307,violation,range_changed,contract
308,clean,,
309,violation,lineage_source_changed,semantic
310,violation,uniqueness_changed,contract
311,clean,,
312,violation,unit_changed,semantic
313,clean,,
314,clean,,
315,violation,lineage_source_changed,semantic
316,violation,type_changed,structural
317,clean,,
318,violation,column_removed,structural
319,violation,uniqueness_changed,contract
320,violation,requiredness_changed,contract
321,violation,enum_domain_changed,contract
322,violation,enum_domain_changed,contract
323,violation,type_changed,structural
324,violation,enum_domain_changed,contract
325,violation,unit_changed,semantic
326,clean,,
327,clean,,
328,violation,column_removed,structural
329,clean,,
330,clean,,
331,violation,uniqueness_changed,contract
332,violation,requiredness_changed,contract
333,violation,column_added,structural
334,violation,column_removed,structural
335,violation,requiredness_changed,contract
336,violation,lineage_source_changed,semantic
337,violation,enum_domain_changed,contract
338,clean,,
339,clean,,
340,violation,range_changed,contract
341,violation,lineage_source_changed,semantic
342,violation,column_removed,structural
343,violation,enum_domain_changed,contract
344,violation,type_changed,structural
345,violation,lineage_source_changed,semantic
346,violation,unit_changed,semantic
347,violation,column_added,structural
348,violation,uniqueness_changed,contract
349,clean,,
350,violation,range_changed,contract
351,violation,enum_domain_changed,contract
352,violation,column_removed,structural
353,violation,enum_domain_changed,contract
354,clean,,
355,clean,,
356,violation,range_changed,contract
357,violation,requiredness_changed,contract
358,violation,type_changed,structural
359,clean,,
360,violation,range_changed,contract
361,clean,,
362,clean,,
363,violation,type_changed,structural
364,violation,column_added,structural
365,violation,uniqueness_changed,contract
366,clean,,
367,violation,unit_changed,semantic
368,violation,requiredness_changed,contract
369,violation,unit_changed,semantic
370,clean,,
371,clean,,
372,clean,,
373,clean,,
374,violation,requiredness_changed,contract
375,violation,lineage_source_changed,semantic
376,violation,column_added,structural
377,clean,,
378,violation,business_definition_changed,semantic
379,violation,requiredness_changed,contract
380,violation,requiredness_changed,contract
381,violation,column_removed,structural
382,violation,column_added,structural
383,violation,column_added,structural
384,violation,unit_changed,semantic
385,clean,,
386,violation,column_removed,structural
387,violation,lineage_source_changed,semantic
388,clean,,
389,clean,,
390,violation,column_removed,structural
391,clean,,
392,violation,type_changed,structural
393,violation,requiredness_changed,contract
394,violation,uniqueness_changed,contract
395,violation,uniqueness_changed,contract
396,clean,,
397,violation,column_added,structural
398,violation,column_removed,structural
399,clean,,
